[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:17.973] T0 | Marcado: [2,1,0,0,0,0,1,0,0,0,0,0]
[20:00:18.057] T1 | Marcado: [2,0,1,1,0,0,1,0,0,0,0,0]
[20:00:18.061] T0 | Marcado: [1,1,0,1,0,0,1,0,0,0,0,0]
[20:00:18.061] T1 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:18.070] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:18.073] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:18.160] T2 | Marcado: [0,0,1,2,1,0,0,0,0,0,0,0]
[20:00:18.161] T3 | Marcado: [0,0,1,2,0,1,0,0,0,0,0,0]
[20:00:18.243] T4 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.246] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:18.246] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:18.327] T9 | Marcado: [0,0,1,1,0,0,0,0,0,0,1,1]
[20:00:18.363] T11 | Marcado: [1,0,1,1,0,0,0,0,0,0,1,0]
[20:00:18.366] T0 | Marcado: [0,1,0,1,0,0,0,0,0,0,1,0]
[20:00:18.366] T1 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:18.410] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.414] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:18.415] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:18.468] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:18.469] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:18.497] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:18.499] T0 | Marcado: [0,1,0,0,0,1,0,0,0,0,0,1]
[20:00:18.499] T1 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:18.512] T11 | Marcado: [1,0,1,1,0,1,0,0,0,0,0,0]
[20:00:18.513] T0 | Marcado: [0,1,0,1,0,1,0,0,0,0,0,0]
[20:00:18.514] T1 | Marcado: [0,0,1,2,0,1,0,0,0,0,0,0]
[20:00:18.551] T4 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.600] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:18.602] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:18.616] T7 | Marcado: [0,0,1,0,0,0,0,0,1,0,0,2]
[20:00:18.618] T8 | Marcado: [0,0,1,0,0,0,0,0,0,1,0,2]
[20:00:18.653] T11 | Marcado: [1,0,1,0,0,0,0,0,0,1,0,1]
[20:00:18.653] T0 | Marcado: [0,1,0,0,0,0,0,0,0,1,0,1]
[20:00:18.654] T1 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:18.683] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:18.684] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:18.685] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:18.704] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:18.786] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.787] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:18.788] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:18.794] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:18.795] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:18.869] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:18.872] T0 | Marcado: [0,1,0,0,0,1,0,0,0,0,0,1]
[20:00:18.873] T1 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:18.876] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:18.891] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:18.892] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:18.892] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.975] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:18.975] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:18.978] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:18.979] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:18.979] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:18.993] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:18.994] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:19.057] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:19.059] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:19.060] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:19.079] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:19.162] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:19.163] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:19.164] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:19.247] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:19.251] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:19.251] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:19.265] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:19.266] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:19.267] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:19.332] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:19.334] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
